timestamp,neo4j_version,size,count,input_bytes,input_triples,mode,variant,folding,run,exit_code,time_s,peak_kb,cypher_bytes,batch_size,nodes,relationships,stderr
2026-07-21T09:52:54+00:00,2026.06.0,2mb,800,1884380,53600,large-file,1,,5,0,24.63,410108,8252915,1000,42478,48000,
2026-07-21T09:53:25+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,fixed,1,0,26.59,365816,6694657,1000,34478,40000,
2026-07-21T09:53:53+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,fixed,2,0,25.93,360400,6694657,1000,34478,40000,
2026-07-21T09:54:17+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,fixed,3,0,22.16,358396,6694657,1000,34478,40000,
2026-07-21T09:54:36+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,fixed,4,0,16.65,367576,6694657,1000,34478,40000,
2026-07-21T09:54:54+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,fixed,5,0,15.59,377760,6694657,1000,34478,40000,
2026-07-21T09:55:18+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,open,1,0,19.86,355052,6347077,1000,34478,38400,
2026-07-21T09:55:36+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,open,2,0,15.95,359612,6347077,1000,34478,38400,
2026-07-21T09:55:53+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,open,3,0,14.08,357204,6347077,1000,34478,38400,
2026-07-21T09:56:07+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,open,4,0,12.29,361520,6347077,1000,34478,38400,
2026-07-21T09:56:18+00:00,2026.06.0,2mb,800,1884380,53600,large-file,2,open,5,0,8.99,368192,6347077,1000,34478,38400,
2026-07-21T09:56:56+00:00,2026.06.0,2mb,800,1884380,53600,large-file,3,,1,0,30.01,416580,8290978,1000,54478,60000,
2026-07-21T09:57:28+00:00,2026.06.0,2mb,800,1884380,53600,large-file,3,,2,0,29.55,391984,8290978,1000,54478,60000,
2026-07-21T09:57:57+00:00,2026.06.0,2mb,800,1884380,53600,large-file,3,,3,0,26.56,414484,8290978,1000,54478,60000,
2026-07-21T09:58:24+00:00,2026.06.0,2mb,800,1884380,53600,large-file,3,,4,0,24.52,420528,8290978,1000,54478,60000,
2026-07-21T09:58:48+00:00,2026.06.0,2mb,800,1884380,53600,large-file,3,,5,0,21.91,407024,8290978,1000,54478,60000,
2026-07-21T09:59:40+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,1,,1,0,41.27,400044,10312295,1000,53078,60000,
2026-07-21T10:00:20+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,1,,2,0,37.30,407180,10312295,1000,53078,60000,
2026-07-21T10:00:54+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,1,,3,0,31.33,405144,10312295,1000,53078,60000,
2026-07-21T10:01:26+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,1,,4,0,29.84,403080,10312295,1000,53078,60000,
2026-07-21T10:01:54+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,1,,5,0,25.33,422808,10312295,1000,53078,60000,
2026-07-21T10:02:26+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,fixed,1,0,27.49,410488,8365159,1000,43078,50000,
2026-07-21T10:02:50+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,fixed,2,0,21.94,396240,8365159,1000,43078,50000,
2026-07-21T10:03:15+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,fixed,3,0,22.11,405584,8365159,1000,43078,50000,
2026-07-21T10:03:38+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,fixed,4,0,21.01,421012,8365159,1000,43078,50000,
2026-07-21T10:03:56+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,fixed,5,0,15.75,400520,8365159,1000,43078,50000,
2026-07-21T10:04:15+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,open,1,0,14.44,399708,7935736,1000,43078,48000,
2026-07-21T10:04:28+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,open,2,0,10.79,386056,7935736,1000,43078,48000,
2026-07-21T10:04:40+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,open,3,0,9.49,406600,7935736,1000,43078,48000,
2026-07-21T10:04:56+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,open,4,0,13.75,397352,7935736,1000,43078,48000,
2026-07-21T10:05:09+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,2,open,5,0,10.47,409524,7935736,1000,43078,48000,
2026-07-21T10:05:55+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,3,,1,0,36.29,408452,10363811,1000,68078,75000,
2026-07-21T10:06:27+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,3,,2,0,29.52,403124,10363811,1000,68078,75000,
2026-07-21T10:06:57+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,3,,3,0,27.36,387256,10363811,1000,68078,75000,
2026-07-21T10:07:26+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,3,,4,0,26.51,393960,10363811,1000,68078,75000,
2026-07-21T10:07:55+00:00,2026.06.0,2.5mb,1000,2358092,67000,large-file,3,,5,0,26.50,423436,10363811,1000,68078,75000,
