size,tool,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,output_bytes_avg,output_bytes_mean,output_bytes_min,output_bytes_max,output_bytes_stddev
2.5mb,cypher,normal,3,,10,1.06,1.06,1.05,1.07,0.00666667,126323,126323,126172,126400,87.0259,7.14654e+06,7.14654e+06,7.14654e+06,7.14654e+06,0
2.5mb,yarspg,normal,1,,10,1.103,1.103,1.1,1.11,0.00483046,130949,130949,130868,131092,70.4222,7.55028e+06,7.55028e+06,7.55028e+06,7.55028e+06,0
2.5mb,yarspg,normal,2,fixed,10,1.143,1.143,1.13,1.17,0.0125167,138989,138989,138760,139092,103.5,1.09965e+07,1.09965e+07,1.09965e+07,1.09965e+07,0
2.5mb,yarspg,normal,2,open,10,1.011,1.011,1,1.02,0.00737865,97850.4,97850.4,97708,97960,73.8816,3.16725e+06,3.16725e+06,3.16725e+06,3.16725e+06,0
2.5mb,yarspg,normal,3,,10,1.043,1.043,1.03,1.06,0.00823273,118140,118140,118048,118308,78.4619,6.63451e+06,6.63451e+06,6.63451e+06,6.63451e+06,0
2mb,cypher,large-file,1,,10,3.311,3.311,3.27,3.34,0.025144,41237.2,41237.2,40700,41836,497.01,6.63119e+06,6.63119e+06,6.63119e+06,6.63119e+06,0
2mb,cypher,large-file,2,fixed,10,1.05,1.05,1.04,1.06,0.00816497,57876.4,57876.4,57712,58016,99.2854,9.2431e+06,9.2431e+06,9.2431e+06,9.2431e+06,0
2mb,cypher,large-file,2,open,10,0.997,0.997,0.96,1.13,0.0480856,80819.2,80819.2,80704,80952,87.3471,2.89537e+06,2.89537e+06,2.89537e+06,2.89537e+06,0
2mb,cypher,large-file,3,,10,2.568,2.568,2.51,2.63,0.0393841,40652,40652,40548,40868,110.014,6.0589e+06,6.0589e+06,6.0589e+06,6.0589e+06,0
2mb,cypher,normal,1,,10,0.885,0.885,0.88,0.9,0.00707107,109018,109018,108864,109116,94.0591,6.4087e+06,6.4087e+06,6.4087e+06,6.4087e+06,0
2mb,cypher,normal,2,fixed,10,0.917,0.917,0.9,0.92,0.00674949,115530,115530,115392,115636,97.8752,9.17841e+06,9.17841e+06,9.17841e+06,9.17841e+06,0
2mb,cypher,normal,2,open,10,0.813,0.813,0.81,0.82,0.00483046,82134,82134,81988,82244,82.3057,2.67459e+06,2.67459e+06,2.67459e+06,2.67459e+06,0
2mb,cypher,normal,3,,10,0.848,0.848,0.83,0.93,0.0293636,100232,100232,100056,100416,151.677,5.71324e+06,5.71324e+06,5.71324e+06,5.71324e+06,0
2mb,yarspg,normal,1,,10,0.876,0.876,0.87,0.88,0.00516398,103366,103366,103300,103488,55.4657,6.03906e+06,6.03906e+06,6.03906e+06,6.03906e+06,0
2mb,yarspg,normal,2,fixed,10,0.899,0.899,0.89,0.91,0.00567646,109647,109647,109572,109716,55.9937,8.81088e+06,8.81088e+06,8.81088e+06,8.81088e+06,0
2mb,yarspg,normal,2,open,10,0.803,0.803,0.8,0.81,0.00483046,77122,77122,76888,77248,108.849,2.53021e+06,2.53021e+06,2.53021e+06,2.53021e+06,0
2mb,yarspg,normal,3,,10,0.824,0.824,0.82,0.83,0.00516398,94397.2,94397.2,94348,94504,51.2614,5.30345e+06,5.30345e+06,5.30345e+06,5.30345e+06,0
